Figure_ID,Letter,Description,PNG_Path,Excel_Path,Source_Script,External,Width_In,Height_In,Notes,Left_In,Top_In,Display_Width_In,Display_Height_In
7,b,HeartDamage Confusion Matrix,Output\PowerPoint_Figures\Fig_7\Fig_7b.png,Output\PowerPoint_Figures\Fig_7\Fig_7b_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,2.15,0.8,1.7,1.7
7,c,HeartDamage Performance Metrics,Output\PowerPoint_Figures\Fig_7\Fig_7c.png,Output\PowerPoint_Figures\Fig_7\Fig_7c_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,4.0,0.8,1.7,1.7
7,d,HeartDamage Threshold Analysis,Output\PowerPoint_Figures\Fig_7\Fig_7d.png,Output\PowerPoint_Figures\Fig_7\Fig_7d_data.xlsx,generate_paper_figures.py,False,1.55,1.87,,0.3,2.65,1.55,1.87
7,e,HeartDamage Cumulative Features,Output\PowerPoint_Figures\Fig_7\Fig_7e.png,Output\PowerPoint_Figures\Fig_7\Fig_7e_data.xlsx,generate_paper_figures.py,False,2.47,1.78,,2.0,2.65,2.47,1.78
7,f,HeartDamage SHAP Aligned Pairs,Output\PowerPoint_Figures\Fig_7\Fig_7f.png,Output\PowerPoint_Figures\Fig_7\Fig_7f_data.xlsx,Output/SHAP_Data/shap_aligned_pairs_all.py,False,3.4,1.7,,0.3,4.67,3.4,1.7
7,g,HeartDamage ADMET ROC Comparison,Output\PowerPoint_Figures\Fig_7\Fig_7g.png,Output\PowerPoint_Figures\Fig_7\Fig_7g_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,3.85,4.66,1.7,1.7
7,h,HeartDamage ADMET Metrics Comparison,Output\PowerPoint_Figures\Fig_7\Fig_7h.png,Output\PowerPoint_Figures\Fig_7\Fig_7h_data.xlsx,generate_paper_figures.py,False,3.74,1.87,,0.387,6.52,3.4,1.7
8,a,ConcernBinary ROC Curve,Output\PowerPoint_Figures\Fig_8\Fig_8a.png,Output\PowerPoint_Figures\Fig_8\Fig_8a_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,0.3,0.8,1.7,1.7
8,b,ConcernBinary Confusion Matrix,Output\PowerPoint_Figures\Fig_8\Fig_8b.png,Output\PowerPoint_Figures\Fig_8\Fig_8b_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,2.15,0.8,1.7,1.7
8,c,ConcernBinary Performance Metrics,Output\PowerPoint_Figures\Fig_8\Fig_8c.png,Output\PowerPoint_Figures\Fig_8\Fig_8c_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,4.0,0.8,1.7,1.7
8,d,ConcernBinary Threshold Analysis,Output\PowerPoint_Figures\Fig_8\Fig_8d.png,Output\PowerPoint_Figures\Fig_8\Fig_8d_data.xlsx,generate_paper_figures.py,False,1.55,1.87,,0.3,2.65,1.55,1.87
8,e,ConcernBinary Cumulative Features,Output\PowerPoint_Figures\Fig_8\Fig_8e.png,Output\PowerPoint_Figures\Fig_8\Fig_8e_data.xlsx,generate_paper_figures.py,False,2.47,1.78,,2.0,2.65,2.47,1.78
8,f,ConcernBinary SHAP Aligned Pairs,Output\PowerPoint_Figures\Fig_8\Fig_8f.png,Output\PowerPoint_Figures\Fig_8\Fig_8f_data.xlsx,Output/SHAP_Data/shap_aligned_pairs_all.py,False,3.4,1.7,,0.3,4.67,3.4,1.7
S1,a,Vandetanib O2_std.csv,Output\PowerPoint_Figures\Fig_S1\Fig_S1a.png,Output\PowerPoint_Figures\Fig_S1\Fig_S1a_data.xlsx,generate_paper_figures.py,False,3.1,1.55,,0.52,0.844,2.519,1.335
S1,b,Vandetanib O2_dom_freq.csv,Output\PowerPoint_Figures\Fig_S1\Fig_S1b.png,Output\PowerPoint_Figures\Fig_S1\Fig_S1b_data.xlsx,generate_paper_figures.py,False,3.1,1.55,,0.533,1.706,1.579,0.727
S1,c,Vandetanib Amp_dom_freq.csv,Output\PowerPoint_Figures\Fig_S1\Fig_S1c.png,Output\PowerPoint_Figures\Fig_S1\Fig_S1c_data.xlsx,generate_paper_figures.py,False,3.1,1.55,,0.553,2.503,3.842,2.084
S2,a,Daunorubicin O2 2D Time Series,Output\PowerPoint_Figures\Fig_S2\Fig_S2a.png,,generate_2d_pkpd_plots.py,False,3.1,1.55,Moved from main Fig 3 to supplement,0.3,0.6,6.5,2.084
S2,b,Daunorubicin Contractility 2D Time Series,Output\PowerPoint_Figures\Fig_S2\Fig_S2b.png,,generate_2d_pkpd_plots.py,False,3.1,1.55,Moved from main Fig 3 to supplement,6.855,0.6,6.5,2.084
S3,a,Accuracy vs AUC (Other Models),Output\PowerPoint_Figures\Fig_S3\Fig_S3a.png,Output\PowerPoint_Figures\Fig_S3\Fig_S3a_data.xlsx,generate_paper_figures.py,False,7.5,2.6,,,,,
S4,a,ADMET LOOCV ROC,Output\PowerPoint_Figures\Fig_S4\Fig_S4a.png,Output\PowerPoint_Figures\Fig_S4\Fig_S4a_data.xlsx,generate_paper_figures.py,False,1.7,1.7,,,,,
S4,b,MoLFormer LOOCV Comparison,Output\PowerPoint_Figures\Fig_S4\Fig_S4b.png,Output\PowerPoint_Figures\Fig_S4\Fig_S4b_data.xlsx,generate_paper_figures.py,False,2.55,1.7,,,,,
2,Epirubicin_O2,Metabolic Dose Dependent Response (Epirubicin O2),Output\PowerPoint_Figures\Fig_2\Fig_2g_Epirubicin_O2.png,Output\PowerPoint_Figures\Fig_2\Fig_2g_Epirubicin_O2_data.xlsx,generate_paper_figures.py,False,12.0,8.0,Raw per-well O2 averaged by conc. LOWESS x3 + Gaussian + CubicSpline. Well 1 excluded (85% outlier). Targeted baseline shift for extreme traces. MARGIN=1.5%.,,,,
2,Daunorubicin_Contractility,Contractility Dose Dependent Response (Daunorubicin Contractility),Output\PowerPoint_Figures\Fig_2\Fig_2_Daunorubicin_Contractility.png,Output\PowerPoint_Figures\Fig_2\Fig_2_Daunorubicin_Contractility_data.xlsx,generate_paper_figures.py,False,4.0,2.8,"Heavy smoothing: LOWESS x3, Gaussian, clamped spline",,,,
2,Epirubicin_TC50,Epirubicin TC50 dose-response at 32h,Output\PowerPoint_Figures\Fig_2\Fig_2h_Epirubicin_TC50.png,Output\PowerPoint_Figures\Fig_2\Fig_2h_Epirubicin_TC50_data.xlsx,generate_paper_figures.py,False,4.0,2.8,"TC50=0.726 mM at 32h, 4PL sigmoid fit on per-well data",,,,
2,Mexiletine_Contractility,Contractility Dose Dependent Response (Mexiletine),Output\PowerPoint_Figures\Fig_2\Fig_2j_Mexiletine_Contractility.png,Output\PowerPoint_Figures\Fig_2\Fig_2j_Mexiletine_Contractility_data.xlsx,generate_paper_figures.py,False,12.0,8.0,"Raw per-well contractility offset-averaged. LOWESS x3 + Gaussian + CubicSpline. Wells {20,22,23,24,25,27} excluded. All traces offset to global average start.",,,,
2,Epirubicin_O2_Heatmap,Epirubicin O2 Heatmap (LOWESS w=16),Output\PowerPoint_Figures\Fig_2\Fig_2i_Epirubicin_O2_Heatmap.png,,generate_paper_figures.py,False,1.7,1.7,"Sorted wells, LOWESS w=16, well 0.38.1 excluded. vmax=100.",,,,
2,Doxorubicin_Waveforms,Doxorubicin Stacked Waveforms (3 doses x 3 timepoints),Output\PowerPoint_Figures\Fig_2\Fig_2_Doxorubicin_Waveforms.png,,generate_paper_figures.py,False,1.7,1.7,Stacked contractility waveforms at High/Med/Low doses across 6h/27h/82h.,,,,
2,Mexiletine_Waveforms,"Mexiletine Stacked Waveforms (3 doses, 48h)",Output\PowerPoint_Figures\Fig_2\Fig_2k_Mexiletine_Waveforms.png,,generate_paper_figures.py,False,1.7,1.7,"Stacked contractility waveforms at 5/1.25/0.625 mM, 48h. Bandpass filtered from raw Dynamix data.",,,,
2,Mexiletine_Contractility_Heatmap,Mexiletine Contractility Heatmap (LOWESS w=16),Output\PowerPoint_Figures\Fig_2\Fig_2l_Mexiletine_Contractility_Heatmap.png,,generate_paper_figures.py,False,1.7,1.7,14 wells excluded per NOTES file. LOWESS w=16 full smooth. Sorted ascending.,,,,
2,d,SNR Quality Analysis,Output\PowerPoint_Figures\Fig_2\Fig_2d.png,Output\PowerPoint_Figures\Fig_2\Fig_2d_data.xlsx,generate_paper_figures.py,False,3.4,2.04,"Stacked bars: QC range (blue) on bottom, out-of-range (red) on top. SNR 0.4 threshold line.",,,,
3,a_Dactinomycin_O2_Heatmap,Dactinomycin O2 heatmap (Panel 3a),Output\PowerPoint_Figures\Fig_3\Fig_3a_Dactinomycin_O2_Heatmap.png,,generate_paper_figures.py,False,1.7,1.7,"LOWESS w=16, rows removed: [1, 8, 12, 16, 20, 24, 27]",,,,
3,a_Nifedipine_O2_Heatmap,Nifedipine O2 heatmap (Panel 3a),Output\PowerPoint_Figures\Fig_3\Fig_3a_Nifedipine_O2_Heatmap.png,,generate_paper_figures.py,False,1.7,1.7,"LOWESS w=16, rows removed: [5, 6]",,,,
3,a_Mexiletine_O2_Heatmap,Mexiletine O2 heatmap (Panel 3a),Output\PowerPoint_Figures\Fig_3\Fig_3a_Mexiletine_O2_Heatmap.png,,generate_paper_figures.py,False,1.7,1.7,"LOWESS w=16, rows removed: [2, 3, 9, 13, 20]",,,,
3,b_Mexiletine_surface,Mexiletine biphasic_response O2 surface (Panel 3b),Output\PowerPoint_Figures\Fig_3\Mexiletine_Eq7_biphasic_response.png,,generate_paper_figures.py,False,1.7,1.7,"Equation: biphasic_response, per-surface color scaling",,,,
3,b_Nifedipine_surface,Nifedipine modified_hill_simple O2 surface (Panel 3b),Output\PowerPoint_Figures\Fig_3\Nifedipine_Eq10_modified_hill_simple.png,,generate_paper_figures.py,False,1.7,1.7,"Equation: modified_hill_simple, per-surface color scaling",,,,
3,b_Dactinomycin_surface,Dactinomycin gaussian_hill_hybrid O2 surface (Panel 3b),Output\PowerPoint_Figures\Fig_3\Dactinomycin_Eq3_gaussian_hill_hybrid.png,,generate_paper_figures.py,False,1.7,1.7,"Equation: gaussian_hill_hybrid, per-surface color scaling",,,,
